dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
82;1dbb75dd-152a-4041-8572-afb007537bf2;spray cans;spray cans,glue,stickers,vandals,FCSG; Brülltor-Unterführung Tags. Die Brülltor-Unterführung wird wieder vermehrt von Sprayern heimgesucht. Auch Kleber, Sticker verunstalten die Gegend. FCSG-Vandalen sind ein großes Ärgernis.;Brühltor Unterführung Tags;Die Brühltor Unterführung wird wieder vermehrt von Sprayern heimgesucht. Auch Klebe Sticker verunstalten die Gegend. FC SG Vandalen sind ein grosses Ärgernis.;a vandals;Brühltor Unterführung Tags Die Brühltor Unterführung wird wieder vermehrt von Sprayern heimgesucht. Auch Klebe Sticker verunstalten die Gegend. FC SG Vandalen sind ein grosses Ärgernis.;x;;;;;192;Graffiti / Tags;0.400
83;c323bc3a-a6e3-409c-932e-f6faab267d37;graffiti;graffiti,concrete wall,trench,concrete wall,spray paint; Bitte Graffiti entfernen. Grabenhalle. Grabenhalle zum unteren Graben. Betonwand wurde versprayt.;Bitte Graffiti entfernen / Grabenhalle;Grabenhalle zum Unteren Graben / Beton Wand wurde versprayt;a graffiti;Bitte Graffiti entfernen / Grabenhalle Grabenhalle zum Unteren Graben / Beton Wand wurde versprayt;x;;;;;165;Graffiti / Tags;0.643
84;70443473-0fce-463c-b335-85773a93f324;rollpark;rollpark,St. Gallen,area,park; Schweinerei. Der gesamte Rollpark St. Gallen ist beschmiert. Bitte um Gesamtreinigung.;Schweinerei !;Der gesamte Rollpark St.Gallen in beschmiert! Bitte um Gesamtreinigung.;;Schweinerei ! Der gesamte Rollpark St.Gallen in beschmiert! Bitte um Gesamtreinigung.;;;x;;;142;Graffiti / Tags;0.545
85;d1cfb76d-e115-4377-b292-b2b866c985ae;graffiti;graffiti,wartehäuschen,walls,paint,cleaning; Graffiti. Das Wartehäuschen ist schon seit geraumer Zeit an mehreren Seiten mit Graffiti verschmiert. Bitte um Reinigung. Besten Dank im Voraus.;Graffiti;Das Wartehäuschen ist schon seit geraumer Zeit an mehreren Seiten mit Graffiti verschmiert. Mit der Bitte um Reinigung. Besten Dank im Voraus.;a graffiti;Graffiti Das Wartehäuschen ist schon seit geraumer Zeit an mehreren Seiten mit Graffiti verschmiert. Mit der Bitte um Reinigung. Besten Dank im Voraus.;x;;;;;204;Graffiti / Tags;0.130
86;00afd90a-806d-41ed-8e3e-7385d81e7a3d;graffiti;graffiti,markings,vandalism; Schmierereien bitte umgehend entfernen.;Schmiererei;Bitte umgehend entfernen;a markings;Schmiererei Bitte umgehend entfernen;x;;;;;85;Graffiti / Tags;0.750
87;3f563e5c-be91-44dc-95ae-38d639aa747f;monument;monument,monument,pedestal,lines,markings; Wadian Denkmal, bitte die Schmierreihen oberhalb dem Sockel entfernen. Danke.;Vadian Denkmal;Bitte die Schmiererei oberhalb dem Sockel entfernen. Danke;a lines;Vadian Denkmal Bitte die Schmiererei oberhalb dem Sockel entfernen. Danke;;;;x;;213;Graffiti / Tags;0.500
88;c7a6ac34-456e-40ef-82ed-8b91468c8151;waste bin;waste bin,dumpster,container,trash can; Escape Company verklebt Abfalleimer.;Escape Company verklebt Abfalleimer;;a waste bin;Escape Company verklebt Abfalleimer ;;;x;;;197;Graffiti / Tags;0.250
89;aacecc4a-0b37-47bd-bedf-399a3b7d59fe;signboard;signboard,orientation sign,timetable board,sign; VBSG-Orientierungs- und Fahrplantafel verschmiert.;VBSG-Orientierungs-und Fahrplantafel verschmiert;;a signboard;VBSG-Orientierungs-und Fahrplantafel verschmiert ;x;;;;;201;Graffiti / Tags;1.000
90;0a94f0f6-e7e1-4c81-b13e-053e657a6cac;person;person,sprayer,underpass,paint,spray; Personenunterführung St. Fieden wieder im Visier der Sprayer. Ich nutze die Unterführung täglich nach wochenlanger relativer Enthaltsamkeit. Der Sprayer nehmen ihre Schmierereien nun wieder zu.;Personenunterführung St. Fiden wieder im Visier der Sprayer;Ich nutze diese Unterführung täglich. Nach wochenlanger relativer 'Enthaltsamkeit' der Sprayer nehmen ihre Schmierereien nun wieder zu.;a paint;Personenunterführung St. Fiden wieder im Visier der Sprayer Ich nutze diese Unterführung täglich. Nach wochenlanger relativer 'Enthaltsamkeit' der Sprayer nehmen ihre Schmierereien nun wieder zu.;x;;;;;184;Graffiti / Tags;0.280
91;72df4f62-9c45-4b63-a0c5-0ccadc0efba8;adhesive tape;adhesive tape,fans,supporters,victory; Klebestreifen. Leider haben die FC SG Fans zu fest gefreut über den Sieg.;Klebeschreifen;Leider haben die FC SG fähns zu fest gefreut über den Sieg;null;Klebeschreifen Leider haben die FC SG fähns zu fest gefreut über den Sieg;;;;;x;106;Graffiti / Tags;0.231
92;acfaa260-4dc9-4b2d-befe-019d1731fcf5;FCS;FCS,Pfadihaus,cleaning costs,association fund,city,buildings; FCS-Geschmierereien am Pfadihaus. Wie wäre es, wenn zünftig die Reinigungskosten direkt aus der Vereinskasse abgezogen werden, statt von Hausbesitzern oder Pfadi-Vereinen? Die ganze Stadt ist dank der FCS-Vandalen verschmutzt, Privatgebäude inklusive einfach traurig, wie konsequenzlos und unsinnig hier Lokalpatriotismus ausgelebt wird auf Kosten anderer.;FCSG Schmierereien am Pfadihaus;Wie wäre es, wenn zukünftig die Reinigungskosten direkt aus der Vereinskasse abgezogen werden statt von Hausbesitzern oder Pfadivereinen? Die ganze Stadt ist dank der FCSG Vandalen verschmutzt, Privatgebäude inklusive, einfach traurig wie konsequenzlos und unsinnig hier Lokalpatriotismus ausgelebt wird auf Kosten anderer.;null;FCSG Schmierereien am Pfadihaus Wie wäre es, wenn zukünftig die Reinigungskosten direkt aus der Vereinskasse abgezogen werden statt von Hausbesitzern oder Pfadivereinen? Die ganze Stadt ist dank der FCSG Vandalen verschmutzt, Privatgebäude inklusive, einfach traurig wie konsequenzlos und unsinnig hier Lokalpatriotismus ausgelebt wird auf Kosten anderer.;;;x;;;143;Graffiti / Tags;0.217
93;85f2a42c-6ffb-4cd7-a3cc-26936cb6838d;city;city,tourists; Verklebt einer Stadt unwürdig, was denken die Touristen?;Verklebt;Einer Stadt unwürdig. Was denken die Touristen?;null;Verklebt Einer Stadt unwürdig. Was denken die Touristen?;;;x;;;232;Graffiti / Tags;0.375
94;ab7e20ae-7252-4bb3-b3b4-a78ee0eaf1f5;hook;hook,KR-point,symbols,timetable,bus stop; Haken, KR-Punkt und andere Symbole. Abfahrplan in Bushaltestelle Singenberg hat leider einige Symbole, welche nicht Teil vom Abfahrplan sind.;Hakenkr. und andere Symbolen;Abfahrplan, in Bushaltestelle Singenberg, hat leider einige symbolen, welche nicht teil vom Abfahrplan sind.;null;Hakenkr. und andere Symbolen Abfahrplan, in Bushaltestelle Singenberg, hat leider einige symbolen, welche nicht teil vom Abfahrplan sind.;;;x;;;121;Graffiti / Tags;0.389
95;0c142574-4014-488f-9eb9-7fc052c03be0;graffiti;graffiti,spray paint,wall,concrete,cityworks; Links extremes Graffiti-EW Betonwerk der Stadtwerke. Am 22.11.2024 wurde gemeldet, dass die Schmierereien bereits entfernt wurden. Leider stimmt das nicht. Das Graffiti wurde nicht entfernt. Aufnahme 25.11.2024.;linksextremes Graffiti EW Betonwerk der Stadtwerke;Am 22.11.24 wurde gemeldet, dass die Schmierereien bereits entfernt wurde. Leider stimmt das nicht. Das Graffiti wurde nicht entfernt. Aufnahme vom 25.11.24;a graffiti;linksextremes Graffiti EW Betonwerk der Stadtwerke Am 22.11.24 wurde gemeldet, dass die Schmierereien bereits entfernt wurde. Leider stimmt das nicht. Das Graffiti wurde nicht entfernt. Aufnahme vom 25.11.24;;;;;x;84;Graffiti / Tags;0.286
96;28aa611c-c5a2-46ba-a5e6-0dc208954ff0 ;spray;spray,sprayings,wall surfaces,retaining wall,panoramic path; Spray-Sprayereien auf Mauerflächen entlang Panoramaweg. Dutzende Meter der Stützmauer entlang des Panoramawegs sind von Sprayereien verunstaltet.;Sprayerei auf Mauerfläche ebtlang Panoranaweg;Dutzende Meter der Stützmauer – entlang des Panoramawegs – sind von Sprayereien verunstaltet.;a wall surfaces;Sprayerei auf Mauerfläche ebtlang Panoranaweg Dutzende Meter der Stützmauer – entlang des Panoramawegs – sind von Sprayereien verunstaltet.;;;;;x;491;Graffiti / Tags;0.333
97;f0231cd0-5875-4130-b266-fc99057d32c1;platform;platform,retaining wall,platform,wall; Haltestelle Flurhof Stützmauer verspreit maßlich am vergangenen Wochenende wurde an der Haltestelle Flurhof die Stützmauer verspreit.;Haltestelle Flurhof: Stützmauer versprayt;Mutmasslich am vergangenem Wochenende wurde an der Bushaltestelle Flurhof die Stützmauer versprayt.;a retaining wall;Haltestelle Flurhof: Stützmauer versprayt Mutmasslich am vergangenem Wochenende wurde an der Bushaltestelle Flurhof die Stützmauer versprayt.;;;;;x;351;Graffiti / Tags;0.375
98;8c86f8ad-629a-419b-bc27-c4ddfa95a2d1;Rondele;Rondele,Kreuzung,Kolumban,Kolosseumstraße,Heimatstraße; Rondele, Kreuzung, Kolumban, Kolosseumstraße, Heimatstraße. Wert den Anfängen war längere Zeit ohne Schmiererei.;Rondelle, Kreuzung Kolumban-/Kolosseumstrasse//Heimatstrasse;Wehret den Anfängen. War längere Zeit ohne Schmiererei.;null;Rondelle, Kreuzung Kolumban-/Kolosseumstrasse//Heimatstrasse Wehret den Anfängen. War längere Zeit ohne Schmiererei.;;;x;;;68;Graffiti / Tags;0.727
99;b56ad86d-dbbc-4c58-8980-20cd9310a863;graffiti;graffiti,sign,board,VBSG; Schmierereien Anzeigetafel VBSG verschmiert;Schmierereien;Anzeigetafel VBSG verschmiert;a graffiti;Schmierereien Anzeigetafel VBSG verschmiert;x;;;;;183;Graffiti / Tags;0.000
100;b4671399-74b4-42c8-b721-fd5958e533ac;graffiti;graffiti,markings,street sign,sign; Schmierereien auf dem Strassenschild.;Schmiererei auf dem Strassenschild;Schmiererei auf dem Strassenschild;a graffiti;Schmiererei auf dem Strassenschild Schmiererei auf dem Strassenschild;x;;;;;176;Graffiti / Tags;0.750
101;558e87aa-79c7-489f-a272-32babe43df90;pedestrian safety;pedestrian safety,sidewalk,pedestrian strip,sidewalk,street; Fussgänger Sicherheit. Guten Tag, warum hat es zur Walenbüchelstraße keinen Fussgängerstreifen oder ein durchgehendes Trottoir auf beiden Seiten? Freundliche Grüße.;Füssfanger sicherheit;Guten Tag Warum hat es zur walenbüchelstrasse keinen Fussgänger Streifen oder ein durchgehendes Trottoir auf beiden Seiten? Freundliche Grüsse;a street;Füssfanger sicherheit Guten Tag Warum hat es zur walenbüchelstrasse keinen Fussgänger Streifen oder ein durchgehendes Trottoir auf beiden Seiten? Freundliche Grüsse;x;;;;;248;Signalisation;0.381
102;e4e5fc09-260a-4147-afac-91c22879b0c9;orange distribution box;orange distribution box,electrical box,power box,box,sight obstruction; Gefährliche Sichtbehinderung durch Orange-Verteilkasten. Der Stromkasten für die Baustelle der BAWQ-Unternehmen Stutz behindert die Sicht für alle, die aus dem Nruckwaldpark in die Bruckwaldstraße einfahren müssen. Das sind viele. Das muss verschriftswidrig sein. Man erkennt nicht, ob sich Fahrzeug aus Richtung Obwita nähert. Schon zwei oder dreimal wurde der Kasten aufgrund von Beanstandungen umplatziert. Jetzt wurde verschlimmbessert. Er gehört aus dem Sichtbereich entfernt. Bürgerfreundlich. Liebe Stadt St. Gallen. Danke und Gruß.;Gefährliche Sichtbehinderung durch orangen Vertteilkasten;Der Stromverteilkasten für die Baustelle der BAWO, Unternehmen Stutz, behindert die Sicht für alle,die aus dem Nruggwaldpaark in die Bruggwaldstrasse einfahren müssen, und das sind viele. Das muss vorschriftswidrig sein, man erkennt nicht, ob sich Fahrzeug aus Richtung obvita naht. Schon zwei oder dreimal wurde der Kasten aufgrund vonBeanstandungen umpöatziert. Jetzt wurde verschlimmbessert. Er gehört aus dem Sichtbereich entfernt. Bürgerfreundlich, liebe Stadt St. Gallen. Dank und Gruss ;a orange distribution box;Gefährliche Sichtbehinderung durch orangen Vertteilkasten Der Stromverteilkasten für die Baustelle der BAWO, Unternehmen Stutz, behindert die Sicht für alle,die aus dem Nruggwaldpaark in die Bruggwaldstrasse einfahren müssen, und das sind viele. Das muss vorschriftswidrig sein, man erkennt nicht, ob sich Fahrzeug aus Richtung obvita naht. Schon zwei oder dreimal wurde der Kasten aufgrund vonBeanstandungen umpöatziert. Jetzt wurde verschlimmbessert. Er gehört aus dem Sichtbereich entfernt. Bürgerfreundlich, liebe Stadt St. Gallen. Dank und Gruss ;x;;;;;235;Signalisation;0.347
103;d9fbfc07-7c2a-4564-871c-fdf5733146ff;warning sign;warning sign,sign,construction site,sign; Warn-Tafel vergessen. Die Baustelle ist beendet. Schild noch da.;Warntafel vergessen;Die Baustelle ist beendet, Schild ist noch da.;a warning sign;Warntafel vergessen Die Baustelle ist beendet, Schild ist noch da.;x;;;;;143;Signalisation;0.400
104;ea4a4c4b-0858-4501-8b9f-dc62313c88fe;signage board;signage board,sign,panel,traffic sign; Signalisationstafel um 90° drehen. Aufgrund der Baustelle wurde die Tafel zur Seite geschwenkt und nach Beendigung nicht wieder korrekt gedreht.;Signalisationstafel um 90 Grad drehen.;Aufgrund der Baustelle wurde die Tafel zur Seite geschwenkt und nach dem Beendigen nicht wieder korrekt gedreht.;a signage board;Signalisationstafel um 90 Grad drehen. Aufgrund der Baustelle wurde die Tafel zur Seite geschwenkt und nach dem Beendigen nicht wieder korrekt gedreht.;x;;;;;214;Signalisation;0.182
105;bc42b84f-5f88-4302-bd72-fd71e0e92162;parking prohibition sign;parking prohibition sign,sign,board,signpost; Parkverbotstafel, guten Tag, diese Tafel steht seit geraumer Zeit und dürfte keine Gültigkeit mehr haben. Danke fürs Entfernen, beste Grüße.;Parkverbotstafel;Guten Tag Diese Tafel steht seit geraumer Zeit und dürfte keine Gültigkeit mehr haben. Danke fürs entfernen. Beste Grüsse;a parking prohibition sign;Parkverbotstafel Guten Tag Diese Tafel steht seit geraumer Zeit und dürfte keine Gültigkeit mehr haben. Danke fürs entfernen. Beste Grüsse;x;;;;;217;Signalisation;0.350
106;b432ae06-1463-42c7-8f5a-c454f932b2fd;signage boards;signage boards,signalization,signs,boards,grass; Signaltafeln. Bitte die Signalisation wieder ordnungsgemäss herstellen. Seit Monaten liegen sie in der angrenzenden Wiese.;Signaltafeln;Bitte die Signalisation wieder ordnungsgemäss herstellen. Seit Monaten liegen Sie in der angrenzenden Wiese.;a signalization;Signaltafeln Bitte die Signalisation wieder ordnungsgemäss herstellen. Seit Monaten liegen Sie in der angrenzenden Wiese.;x;;;;;201;Signalisation;0.133
107;898f47c5-01fb-44c4-9d81-b1cc02b241a7;sidewalk lane;sidewalk lane,moss,kindergartens,bus,bus stop,light signal,median; Fußgängerstreifen sichern. Im Moos gibt es zwei Kindergärten. Viele Kinder müssen den Fußgängerstreifen über die Hakenstraße passieren. Die Situation ist gefährlich, insbesondere wenn Busse auf den Haltestellen unmittelbar vor und nach dem Streifen die Sicht versperren. Mit einem Lichtsignal könnte Klarheit geschaffen werden, allerdings könnte eine Mittelinsel schon etwas verbessern. Es sollte eine kindervorwinterliche Lösung geschaffen werden, bevor etwas passiert. Vielen Dank.;Fussgängerstreifen sichern;Im Moos gibt es zwei Kindergärten. Viele Kinder müssen den Fussgängerstreifen über die Haggenstrasse passieren. Die Situation ist gefährlich, insbesondere wenn Busse auf den Haltestellen unmittelbar vor oder nach dem Streifen die Sicht versperren. Mit einem Lichtsignal könnte Klarheit geschaffen werden. Allenfalls könnte eine Mittelinsel schon etwas verbessern. Es sollte eine kinderfreundliche Lösung geschaffen werden, BEVOR etwas passiert. Vielen Dank.;null;Fussgängerstreifen sichern Im Moos gibt es zwei Kindergärten. Viele Kinder müssen den Fussgängerstreifen über die Haggenstrasse passieren. Die Situation ist gefährlich, insbesondere wenn Busse auf den Haltestellen unmittelbar vor oder nach dem Streifen die Sicht versperren. Mit einem Lichtsignal könnte Klarheit geschaffen werden. Allenfalls könnte eine Mittelinsel schon etwas verbessern. Es sollte eine kinderfreundliche Lösung geschaffen werden, BEVOR etwas passiert. Vielen Dank.;;;;;x;120;Signalisation;0.145
108;ab024d8a-6b37-4cba-b2ab-39345e88dd3f;dirty sign;dirty sign,traffic sign,prohibition sign,sign,visibility; Verschmutztes Schild. Das Fahrverbotsschild wird oft ignoriert, allenfalls aufgrund der schlechten Sichtbarkeit.;Verschmutztes Schild;Das Fahrverbotsschild wird oft ignoriert, allenfalls auch aufgrund der schlechten Sichtbarkeit.;a traffic sign;Verschmutztes Schild Das Fahrverbotsschild wird oft ignoriert, allenfalls auch aufgrund der schlechten Sichtbarkeit.;x;;;;;204;Signalisation;0.154
109;69e6946b-7cb6-40a1-a046-2240369f5f49;sign;sign,new sign,sign; Neues Schild. Besten Dank für die schnelle Erledigung mit dem neuen Schild.;Neues Schild;Besten Dank für die schnelle Erledigung mit dem neuen Schild. 😊;;Neues Schild Besten Dank für die schnelle Erledigung mit dem neuen Schild. 😊;x;;;;;213;Signalisation;0.154
110;83a5338b-0834-4428-8e5e-8baf1c861a35;traffic sign;traffic sign,sign,date; Schuld vergessen. Könnte es sein, dass dieses Verkehrsschild vergessen wurde. Falls nicht, müsste wohl das Datum aktualisiert werden.;Schuld vergessen?;Könnte es sein, dass dieses Verkehrsschild vergessen wurde? Falls nicht, müsste wohl das Datum aktualisiert werden.;a traffic sign;Schuld vergessen? Könnte es sein, dass dieses Verkehrsschild vergessen wurde? Falls nicht, müsste wohl das Datum aktualisiert werden.;x;;;;;225;Signalisation;0.111
111;61dda925-f231-4371-a70c-c8d73c973634;signage;signage,signalisation,bicycle path,sidewalk,green light,red marking; Gefährliche Signalisation beim unteren Graben. Die neue Signalisation des Velowegs beim unteren Graben Richtung West führt zu gefährlichen Situationen. Die Fußgänger warten regelmäßig auf den Veloweg aufs grüne Licht bzw. könnte hier eine klare bzw. rote Markierung des Velowegs wie an anderen Orten auch würde hier Abhilfe schaffen.;Gefährliche Signalisation beim unteren Graben;Die neue Signalisation des Veloweges beim unteren Graben in Richtung West führt zu gefährlichen Situationen. Die Fussgänger warten regelmässig auf dem Veloweg aufs grüne Licht. Bspw. könnte hier eine klarere, bspw. rote Markierung des Veloweges (wie an anderen Orten auch) würde hier Abhilfe schaffen.;a sidewalk;Gefährliche Signalisation beim unteren Graben Die neue Signalisation des Veloweges beim unteren Graben in Richtung West führt zu gefährlichen Situationen. Die Fussgänger warten regelmässig auf dem Veloweg aufs grüne Licht. Bspw. könnte hier eine klarere, bspw. rote Markierung des Veloweges (wie an anderen Orten auch) würde hier Abhilfe schaffen.;x;;;;;246;Signalisation;0.265
112;8f0ced27-2089-4d52-96d1-7132004a4895;tax money waste;tax money waste,traffic sign,location,bicycle; Steuergeldverschwendung. Was für einen Sinn macht diese Verkehrstafel an diesem unwegsamen Ort, wo man kaum mit dem Velo durchfahren kann?;Steuergeldverschleuderung;Was für einen Sinn macht diese Verkehrstafel an diesem unwegsamen Ort, wo man kaum mit dem Velo durchfahren kann…;a traffic sign;Steuergeldverschleuderung Was für einen Sinn macht diese Verkehrstafel an diesem unwegsamen Ort, wo man kaum mit dem Velo durchfahren kann…;x;;;;;227;Signalisation;0.100
113;e9013eaf-b4c0-43bb-81c1-2b4556e77db8;pedestrian lane;pedestrian lane,crosswalk,road marking,bus stop,street; Fußgängerstreifen weg. An der Kreuzung Hagenbuchstraße, Flurhofstraße wurde neue Bodenmarkierung gemacht und gleichzeitig der Fußgängerstreifen an der Flurhofstraße entfernt. Jetzt ist nicht da und die Autofahrer, jetzt ohne zu schauen, dort ist ja nur schon wegen der Bushaltestelle viele Leute, die dort die Strasse überqueren, kommt da nochmals ein Fußgängerstreifen hin.;Fussgängerstreifen weg;An der Kreuzung Hagenbuchstrasse/Flurhofstrasse wurde neue Bodenmarkierung gemscht und gleichzeitig der Fussgängerstreifen an der Flurhohsrrasse entfernt. Jetzt ist nicht da und die Auto fahren jetzt ohne zu schauen, dort ist ja nur schon wegen der Bushaltestelle viele Leute, die dort die Steasse überqueren. Kommt da nochmals ein Fussgängerstreifen hin?;a road marking;Fussgängerstreifen weg An der Kreuzung Hagenbuchstrasse/Flurhofstrasse wurde neue Bodenmarkierung gemscht und gleichzeitig der Fussgängerstreifen an der Flurhohsrrasse entfernt. Jetzt ist nicht da und die Auto fahren jetzt ohne zu schauen, dort ist ja nur schon wegen der Bushaltestelle viele Leute, die dort die Steasse überqueren. Kommt da nochmals ein Fussgängerstreifen hin?;x;;;;;120;Signalisation;0.275
114;90d9d54d-af05-4ec5-b9a9-ecb5f0dfbe8c;signage;signage,sign,board,work,church; Signalisation, nachdem die Arbeiten bei der Linsenbühlkirche fertig sind, sollte die Tafel wieder richtig gedreht werden.;Signalisation;Nachdem die Arbeiten bei der Linsebühlkirche fertig sind, sollte diese Tafel wieder richtig gedreht werden.;a sign;Signalisation Nachdem die Arbeiten bei der Linsebühlkirche fertig sind, sollte diese Tafel wieder richtig gedreht werden.;x;;;;;175;Signalisation;0.250
115;210b0cec-01eb-4364-9202-88d9a0a8ec8f;construction site sign;construction site sign,construction site,sign,construction; Baustellentafel – Wo ist die signalisierte Baustelle?;Baustellentafel;Wo ist die signalisierte Baustelle?;a sign;Baustellentafel Wo ist die signalisierte Baustelle?;x;;;;;168;Signalisation;0.167
116;1d65eb76-0c62-4d63-af01-c23a9919804c;table;table,board,surface,cleaning; Tafel stark verschmutzt. Es wäre schön, wenn Sie diese Tafel reinigen könnten. Danke.;Tafeln stark verschmutzt;Es wäre schön, wenn Sie diese Tafeln reinigen könnten. Danke!;null;Tafeln stark verschmutzt Es wäre schön, wenn Sie diese Tafeln reinigen könnten. Danke!;;;x;;;90;Signalisation;0.308
117;0c0ec06e-824d-4656-a697-df5cb7c737f9;sign;sign,street sign,money,government,road; Warum wird in einer reinen Fussgängerzone ein solches Schild neu aufgestellt? Darf ich nicht schneller als 30 km pro Stunde laufen? Zwinker. Auf der Rückseite steht 20 km für bergab. Uns düngt das unsinnige Steuergeldverschwendung.;Schilder-Verwirrung;Warum wird in einer reinen Fussgänger-Zone ein solches Schilder neu aufgestellt?? Darf ich nicht schneller als 30km/h laufen? Zwinker! Auf der Rückseite steht 20km/h für bergab… Uns dünkt das unsinnige Steuergeldverschwendung.;a sign;Schilder-Verwirrung Warum wird in einer reinen Fussgänger-Zone ein solches Schilder neu aufgestellt?? Darf ich nicht schneller als 30km/h laufen? Zwinker! Auf der Rückseite steht 20km/h für bergab… Uns dünkt das unsinnige Steuergeldverschwendung.;x;;;;;208;Signalisation;0.406
118;07c52067-b125-416a-9af6-478a40cd6670;signs;signs,diversion signal,street,pedestrian,construction signal,light fixture; Überflüssige Signale, Abzweigung, Neststraße, Demutstraße, welche Bedeutung haben das Umleitsignal für Fußgänger, das verblichene Bauarbeitensignal beim Beleuchtungskandelaber.;überflüssige Signale?;Abzweigung Neststrasse/Demutstrasse, welche Bedeutung haben: - das Umleitungssignal für Fussgänger - das verblichene Bauarbeiten-Signal beim Beleuchtungskandelaber;a signs;überflüssige Signale? Abzweigung Neststrasse/Demutstrasse, welche Bedeutung haben: - das Umleitungssignal für Fussgänger - das verblichene Bauarbeiten-Signal beim Beleuchtungskandelaber;x;;;;;242;Signalisation;0.667
119;ef74e33a-68f3-4012-b635-9c1b8a3c56cc;grid;grid,board,fence,sign,bicycle path; Gitter und Tafel entfernen. Die Offer ist schon wieder längst passé. Bitte das Gitter und Tafel entfernen. Somit kann man wieder normal diesen Veloweg benutzen.;Gitter und Tafel entfernen;Die OFFA ist schon wieder längst passé. Bitte das Gitter und Tafel entfernen. Somit kann man wieder normal diesen Veloweg benutzen.;a grid;Gitter und Tafel entfernen Die OFFA ist schon wieder längst passé. Bitte das Gitter und Tafel entfernen. Somit kann man wieder normal diesen Veloweg benutzen.;;;;x;;220;Signalisation;0.080
120;a04017d1-388b-4d7b-a203-db8875c09b49;plastic post;plastic post,posts,lamppost,ladder; Plastikpfosten. Zwei herausgerissene Pfosten, eventuell von einer Bushaltestelle, liegen an der Schlössltreppe Lampe Nummer 21.;Plastikpfosten;2 herausgerissene Pfosten, evtl. von einer Bushaltestelle, liegen an der Schlösslitreppe, Lampe Nr. 21.;a posts;Plastikpfosten 2 herausgerissene Pfosten, evtl. von einer Bushaltestelle, liegen an der Schlösslitreppe, Lampe Nr. 21.;;;;;x;379;Signalisation;0.333
121;0c8d0317-9585-4909-83c1-05159a61737c;signage;signage,sign,board,staircase; Spezielle Signalisation. Was hat es sich mit dieser speziellen Tafel auf sich bei einer Treppe?;Spezielle Signalisation;Was hat es mit dieser speziellen Tafel auf sich? Bei einer Treppe!?;a signage;Spezielle Signalisation Was hat es mit dieser speziellen Tafel auf sich? Bei einer Treppe!?;x;;;;;202;Signalisation;0.357
122;a003aafa-5ff3-438a-9668-c5f37a9f300b;table;table,sign,plate,airplane,car; 30 Tafel für fliegende Autos. Diese Tafel sieht kein Autofahrer.;30 Tafel für fliegende Autos?;Diese Tafel sieht kein Autofahrer!!;a sign;30 Tafel für fliegende Autos? Diese Tafel sieht kein Autofahrer!!;x;;;;;490;Signalisation;0.200
123;b3591288-7f74-4dad-a5da-604699f7c54d;steering knob;steering knob,control knob,handle,puddles,wheelchair; Halteknopf bedienerunfreundlich. Der Halteknopf kann nur sehr schwer bedient werden. Vorne drei Dreckpfütze und dann noch ein Haag für Rollstuhlfahrende absolut nicht bedienbar.;Halteknopf bedienerunfreundlich;Der Halteknopf kann nur schwer bedient werden, vorne Dreckpfütze und dann noch ein Hag. Für Rollstuhlfahrende absolut nicht bedienbar.;a handle;Halteknopf bedienerunfreundlich Der Halteknopf kann nur schwer bedient werden, vorne Dreckpfütze und dann noch ein Hag. Für Rollstuhlfahrende absolut nicht bedienbar.;;;;;x;298;Signalisation;0.333
124;c3798702-eb72-4b51-82e0-4346c7a102a4;signpost;signpost,pole,post; Signalisierungspfosten umgefahren.;Signalisierungspfosten umgefahren;;a signpost;Signalisierungspfosten umgefahren ;;;;;x;154;Signalisation;0.500
125;dbbee80b-029a-4774-b03f-8d583110fb78;no parking sign;no parking sign,parking sign,sign,sidewalk,stroller; Parkverbotstafel. Zwei Parkverbotstafel stehen auf dem Trottoir. Mit einem Kinderwagen oder Rollstuhl ist kaum daran vorbeizukommen.;Parkverbottafeln;2 Parkverbottafel stehen auf dem Trottoir. Mit einem Kinderwagen oder einem Rollstuhl ist kaum daran vorbei zu kommen!;a sign;Parkverbottafeln 2 Parkverbottafel stehen auf dem Trottoir. Mit einem Kinderwagen oder einem Rollstuhl ist kaum daran vorbei zu kommen!;x;;;;;268;Signalisation;0.368
126;1155d6c5-432b-4015-82fb-e5d787b55091;street;street,intersection,light,number three; Achsensteinstraße Leuchtstelle Nummer 3 brennt nicht.;Axensteinstrasse, Leuchtstelle Nr 3;brennt nicht;a street;Axensteinstrasse, Leuchtstelle Nr 3 brennt nicht;;;x;;;129;Strassenbeleuchtung;0.500
127;1248823f-728e-4459-ad9e-8cd303a18890;Bieserhofstraße;Bieserhofstraße,Leuchtstelle,number 27,fire; Bieserhofstraße Leuchtstelle Nummer 27 brennt teilweise.;Biserhofstrasse, Leuchtstelle Nr 27;brennt teilweise;null;Biserhofstrasse, Leuchtstelle Nr 27 brennt teilweise;;;x;;;89;Strassenbeleuchtung;0.500
128;d605aa5d-9942-4e05-a5f3-eb39bb70aaec;street;street,light,number one,flame; Duft hoch, Straße, Leuchtstelle Nummer 1 brennt nicht.;Dufourstrasse, Leuchtstelle Nr 1;brennt nicht;a street;Dufourstrasse, Leuchtstelle Nr 1 brennt nicht;;;;x;;139;Strassenbeleuchtung;0.833
